pet_type,pet_category,food_name,ingredients,description,label
dog,small,shrimp meal,"shrimp, vitamins, minerals",shrimp based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,oats meal,"oats, vitamins, minerals",oats based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,millet meal,"millet, vitamins, minerals",millet based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,tuna meal,"tuna, vitamins, minerals",tuna based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,carrot meal,"carrot, vitamins, minerals",carrot based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,salmon meal,"salmon, vitamins, minerals",salmon based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,oats meal,"oats, vitamins, minerals",oats based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,brown rice meal,"brown rice, vitamins, minerals",brown rice based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,chicken meal,"chicken, vitamins, minerals",chicken based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,brown rice meal,"brown rice, vitamins, minerals",brown rice based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,fish meal meal,"fish meal, vitamins, minerals",fish meal based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,shrimp meal,"shrimp, vitamins, minerals",shrimp based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,sweet potato meal,"sweet potato, vitamins, minerals",sweet potato based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,carrot meal,"carrot, vitamins, minerals",carrot based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,carrot meal,"carrot, vitamins, minerals",carrot based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,oats meal,"oats, vitamins, minerals",oats based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,turkey meal,"turkey, vitamins, minerals",turkey based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,chicken meal,"chicken, vitamins, minerals",chicken based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,salmon meal,"salmon, vitamins, minerals",salmon based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,sunflower seeds meal,"sunflower seeds, vitamins, minerals",sunflower seeds based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,lamb meal,"lamb, vitamins, minerals",lamb based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,chicken meal,"chicken, vitamins, minerals",chicken based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,salmon meal,"salmon, vitamins, minerals",salmon based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
dog,small,shrimp meal,"shrimp, vitamins, minerals",shrimp based nutritious meal suitable for dog (small) providing essential proteins vitamins and minerals.,safe
